date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:43	85692/85692	---M--	200	added ('OK')	application/font-woff	etag:%221d82ee460dc81bc%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-300.woff	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-300.woff	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:45	170420/170420	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d82ee460df56b4%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-300.ttf	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-300.ttf	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:45	64632/64632	---M--	200	added ('OK')	font/woff2	etag:%221d82ee460dd3378%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-400.woff2	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-400.woff2	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:46	85876/85876	---M--	200	added ('OK')	application/font-woff	etag:%221d82ee460dc8074%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-400.woff	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-400.woff	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:48	171676/171676	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d82ee460df519c%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-400.ttf	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-400.ttf	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:48	4839701/4839701	---M--	200	added ('OK')	application/javascript	etag:%221dae9c2174c9e15%22	https://studentportal.bdu.edu.et/js/vendor.js?v=cTRX7itR_rU86mxfFlpK2XgEow-MSHnTiJYLFm3ZWcg	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/js/vendor1366.js	(from https://studentportal.bdu.edu.et/)
11:10:48	65484/65484	---M--	200	added ('OK')	font/woff2	etag:%221d82ee460dd30cc%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-500.woff2	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-500.woff2	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:49	86444/86444	---M--	200	added ('OK')	application/font-woff	etag:%221d82ee460dc9eac%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-500.woff	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-500.woff	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:51	172064/172064	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d82ee460df6f20%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-500.ttf	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-500.ttf	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:51	64740/64740	---M--	200	added ('OK')	font/woff2	etag:%221d82ee460dd33e4%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-700.woff2	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-700.woff2	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:52	86184/86184	---M--	200	added ('OK')	application/font-woff	etag:%221d82ee460dc9fa8%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-700.woff	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-700.woff	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:54	170760/170760	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d82ee460df5408%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-700.ttf	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-700.ttf	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:54	10984/10984	---M--	200	added ('OK')	font/woff2	etag:%221d82ee460dde5e8%22	https://studentportal.bdu.edu.et/css/devextreme/icons/dxiconsmaterial.woff2	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/icons/dxiconsmaterial.woff2	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:55	14480/14480	---M--	200	added ('OK')	application/font-woff	etag:%221d82ee460ddf790%22	https://studentportal.bdu.edu.et/css/devextreme/icons/dxiconsmaterial.woff	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/icons/dxiconsmaterial.woff	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
11:10:56	29292/29292	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d82ee460ddbd6c%22	https://studentportal.bdu.edu.et/css/devextreme/icons/dxiconsmaterial.ttf	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/icons/dxiconsmaterial.ttf	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
